,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1546,cbd,brakence,00iYCxpoIxtyBr2JzhIpxx,spotify:track:00iYCxpoIxtyBr2JzhIpxx,2.69,54,0.64,0.458,1,-8.094,0.106,0.172,1.62e-05,0.13,0.585,103.791
1547,i know you hate me,midwxst,1dyGAvhMll39BwCGb6u9pP,spotify:track:1dyGAvhMll39BwCGb6u9pP,2.08,64,0.524,0.579,5,-4.975,0.0946,0.523,0.0,0.172,0.788,93.807
1548,Company,Kevin Powers,5x5xVKKT0jltPqjtWfmJTn,spotify:track:5x5xVKKT0jltPqjtWfmJTn,2.58,52,0.853,0.352,6,-6.857,0.293,0.307,0.0,0.0967,0.782,151.001
1549,Too Often,Jaxx,2gGosfmwvSgNesYx1hzyMb,spotify:track:2gGosfmwvSgNesYx1hzyMb,2.04,44,0.757,0.484,0,-7.365,0.243,0.16,0.0,0.1,0.651,140.988
1550,USED2KNOW,Dro Kenji,1AypGrF9hgXuCpvt2b8BEY,spotify:track:1AypGrF9hgXuCpvt2b8BEY,2.56,54,0.62,0.628,1,-6.601,0.115,0.0085,0.0,0.127,0.348,177.915
1551,PORN ACTING*,Jean Dawson,1lu1qW0KFaYUv2cQJl71ok,spotify:track:1lu1qW0KFaYUv2cQJl71ok,2.87,50,0.407,0.736,7,-5.214,0.0765,0.0264,2e-06,0.199,0.642,183.915
1552,Over,Tom The Mail Man,3aDMZXySHhSRCeG0bbUeOx,spotify:track:3aDMZXySHhSRCeG0bbUeOx,2.37,36,0.558,0.718,11,-6.399,0.0509,0.00489,2.97e-06,0.262,0.379,125.259
1553,RFGL,whiterosemoxie,5Im9BMrf0xkFD4xNHiKDUl,spotify:track:5Im9BMrf0xkFD4xNHiKDUl,2.5,40,0.678,0.483,1,-6.312,0.0447,0.0417,0.0,0.127,0.0855,134.93
1554,Heavy (with Lil Uzi Vert),Nigo,02WDt2eCNOU2mt0DF5w678,spotify:track:02WDt2eCNOU2mt0DF5w678,3.34,59,0.677,0.558,8,-7.681,0.177,0.167,0.0,0.365,0.384,144.485
1555,Frozen (feat. 070 Shake),Madonna,34itnB3u4NTwj9ctVfiPmC,spotify:track:34itnB3u4NTwj9ctVfiPmC,2.33,62,0.68,0.638,1,-6.324,0.0366,0.0352,0.0,0.137,0.23,110.004
