,Unnamed: 0,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Cluster,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7,Metric 8
1257,1258,Alone (Calvin Harris Remix) (Feat. Stefflon Don),Halsey,5K09638EBQjVMrZYXA89aC,spotify:track:5K09638EBQjVMrZYXA89aC,3.32,50,0.829,0.819,2,-3.43,0.131,0.137,0.00792,0.282,0.35,123.944,7,-1.7763825819165595,0.24461237411374406,0.4005438196732205,0.228373001159868,-0.5820016228650575,-0.6849658306655108,0.8079825641468376,-0.46619036556454924
1258,1259,better off,Jeremy Zucker,5NlV5HVIfgk5eHxvAGGTfy,spotify:track:5NlV5HVIfgk5eHxvAGGTfy,3.22,0,0.72,0.316,8,-12.532,0.0414,0.803,0.00016,0.154,0.442,98.925,4,2.9938948829135206,0.8387780819877483,-0.2469561113411337,-0.16568960063818633,1.2147185429335736,-0.30879686632909026,-0.3989492082559098,0.11528710279214294
1259,1260,Better Not (feat. Wafia),Louis The Child,447yWcDPg1ddgcHBLGpJC0,spotify:track:447yWcDPg1ddgcHBLGpJC0,3.71,1,0.783,0.537,9,-2.921,0.0749,0.278,0.0,0.229,0.392,113.977,5,-0.5914143415353303,0.3073017615072712,0.5078377227189348,-0.09351099922507779,1.314582180816646,-0.06206151419161948,-0.3983827073285983,-0.6334847555473533
1260,1261,JAPAN,Famous Dex,4lTiuD1DwBKo4L7wqMkD7C,spotify:track:4lTiuD1DwBKo4L7wqMkD7C,2.4,49,0.733,0.678,6,-7.771,0.439,0.121,0.0,0.345,0.841,175.984,6,-1.2088905751884964,2.395582035552505,1.6468083424810076,0.7803107531390611,-1.5077035713254385,1.317018176090363,-0.4071531823215853,1.239822476130083
1261,1262,Zack And Codeine,Post Malone,5lZZmityu9TAjNvSY6GLhR,spotify:track:5lZZmityu9TAjNvSY6GLhR,3.41,64,0.738,0.824,5,-5.165,0.0437,0.15,0.0,0.132,0.386,138.039,7,-1.3332071648103652,-0.22972827376263652,-0.3653332171027107,0.008592180175530853,-0.6017258686063341,0.45149555023357596,0.5482820197932483,-1.102488037875912
1262,1263,Rich & Sad,Post Malone,2VdT56BGpdqNHUgOe1j5vc,spotify:track:2VdT56BGpdqNHUgOe1j5vc,3.44,71,0.599,0.571,2,-4.998,0.0665,0.198,0.0,0.0969,0.285,151.974,7,-0.26883383674581335,-0.8507422676583756,-0.38761075063877926,-0.005096615595827157,-1.6810004825628875,0.17512016809127628,0.3670537579117034,-1.1035876991273297
1263,1264,Psycho (feat. Ty Dolla $ign),Post Malone,3swc6WTsr7rl9DqQKQA55C,spotify:track:3swc6WTsr7rl9DqQKQA55C,3.69,79,0.75,0.56,8,-8.094,0.105,0.546,0.0,0.111,0.459,140.06,6,0.7019211573302913,0.7656486776345963,-0.9236068135698071,0.5450399701505597,-0.545942594223416,1.2462593525381889,0.2897339600204719,-0.7203412166741755
1264,1265,Ball For Me (feat. Nicki Minaj),Post Malone,6IaieqiCVvsNvEt6Y7yOFa,spotify:track:6IaieqiCVvsNvEt6Y7yOFa,3.44,69,0.797,0.55,9,-4.166,0.24,0.513,0.0,0.0786,0.543,134.206,6,-0.1687762201914917,1.5552905090661493,-0.5559384190041134,0.3431345275526313,-0.23469921966600224,1.1271709971663317,-0.08265698029126492,-0.7968848073467572
1265,1266,Same Bitches (feat. G-Eazy & YG),Post Malone,688QpQAwqsLdBR6lr13wK1,spotify:track:688QpQAwqsLdBR6lr13wK1,3.54,65,0.731,0.774,10,-5.273,0.0555,0.434,3.34e-06,0.114,0.219,100.005,5,-0.3078590975121015,-0.19698796611932232,-0.7413067168639105,0.700426147905419,0.9936065335649787,0.4332073568601011,0.19163947043988566,-1.6045264085299886
1266,1267,92 Explorer,Post Malone,1D2L6MefbXon28PzIk9I3r,spotify:track:1D2L6MefbXon28PzIk9I3r,3.52,69,0.798,0.733,7,-4.811,0.0476,0.265,1.25e-06,0.114,0.861,146.046,2,-1.5494944205391512,1.2027699911572973,-1.1160421840695145,0.022209493879166976,-0.5405507268582335,1.2947972516172774,0.7646042838908124,-0.3845373673858525
1267,1268,Snakes,Bazanji,4qTdAqcQOY9V6s8SmWkUWV,spotify:track:4qTdAqcQOY9V6s8SmWkUWV,4.17,31,0.825,0.631,1,-6.826,0.0512,0.0147,0.0,0.122,0.192,120.001,5,-0.3690896330162875,-0.1532892452814352,0.267120094675023,-1.00830439659801,-0.4455566667192242,-0.964529134684968,0.5781910307388923,-1.1868635776725123
1268,1269,The Navy,Yung Pinch,4Aijj90kGS8u9ShM3OffIi,spotify:track:4Aijj90kGS8u9ShM3OffIi,2.02,0,0.786,0.524,5,-9.291,0.306,0.00732,0.0,0.249,0.812,143.087,6,-0.41538404808693064,2.224491186676927,1.564216943706001,-0.6092227733622707,-0.23668064476487563,0.16146881099240318,-0.42589560699444107,0.8742671050093311
1269,1270,no tears left to cry,Ariana Grande,5SxkdsY1ufZzoq9iXceLw9,spotify:track:5SxkdsY1ufZzoq9iXceLw9,3.43,2,0.703,0.696,0,-5.482,0.0529,0.0375,5.65e-06,0.274,0.366,121.969,7,-1.0428505679282296,-0.485516227622362,0.9995004618969635,-0.5587860137947457,-0.34884720929344143,-1.4827527450719893,0.31917869757380873,-0.12017930668426745
1270,1271,A$AP Forever (feat. Moby),A$AP Rocky,1YmF9PvLhIISIANoMLIYGq,spotify:track:1YmF9PvLhIISIANoMLIYGq,3.88,65,0.469,0.78,10,-6.49,0.122,0.224,0.0,0.13,0.444,125.999,7,-0.6447974936616582,-0.6233799010129153,-0.1554447962498989,1.0438056449235107,0.21666571769341075,1.0393906739301582,-0.3579720032116285,-0.9693790076055088
1271,1272,U Mad,VIC MENSA,6rOLiOF1wIqFa9f0G4jOhX,spotify:track:6rOLiOF1wIqFa9f0G4jOhX,5.0,0,0.722,0.586,1,-6.495,0.0472,0.0122,0.0,0.325,0.48,134.047,7,-0.7550538668625432,-0.09607524492978638,1.0693262060024484,-0.42578097442114,-0.40518344803081613,-0.98625505162167,0.2915022321310964,0.2968751627936987
1272,1273,Sugar Wraith,Post Malone,0MrRAUcB8AZiB9ue2VOBYe,spotify:track:0MrRAUcB8AZiB9ue2VOBYe,3.8,65,0.606,0.775,5,-4.269,0.0671,0.262,0.0,0.1,0.307,164.02,7,-0.9912110266968605,-0.9079117536634295,-0.14571954532421832,0.09986018481928578,-1.3602950020341715,0.8935124456198521,-0.009354241454094548,-1.146623220305184
